category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Residuos,RES_C74EB0D9B17B28,España,,Madera,Madera,,,Reciclaje (Circuito cerrado),kg,2022,,,0.03753,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=18,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_2340B4B94FB194,España,,Madera,Madera,,,Reciclaje (Circuito cerrado),kg,2023,,,0.03753,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=18,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_CF5CB35DE2851D,España,,Madera,Madera,,,Reciclaje (Circuito cerrado),kg,2024,,,0.03753,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=18,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_85D00D5B2FBE00,España,,Madera,Madera,,,Reciclaje (Circuito cerrado),kg,2025,,,0.03753,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=18,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_9CF3DDE05415C5,España,,Madera,Madera,,,Reciclaje (Circuito cerrado),kg,2026,,,0.03753,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=18,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_A0FE09CFA30870,España,,Metal (estructuras),Metal (estructuras),,,Reciclado (Circuito cerrado),kg,2022,,,0.06917,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=19,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_59EDD1FD12EB4E,España,,Metal (estructuras),Metal (estructuras),,,Reciclado (Circuito cerrado),kg,2023,,,0.06917,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=19,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_E80CE290B64B5A,España,,Metal (estructuras),Metal (estructuras),,,Reciclado (Circuito cerrado),kg,2024,,,0.06917,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=19,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_C20C6C6EFF4499,España,,Metal (estructuras),Metal (estructuras),,,Reciclado (Circuito cerrado),kg,2025,,,0.06917,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=19,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_1A1396EDB9E705,España,,Metal (estructuras),Metal (estructuras),,,Reciclado (Circuito cerrado),kg,2026,,,0.06917,kgCO2e/kg,VERSIONED,OCCC v2025,OCCC,source_row=19,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,Factor versionado; no se presenta como FE anual,Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
