category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Materiales y productos,MAT_EB872A88D861B1,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Reciclado (Circuito cerrado),kg,2023,,2023,1.63078661,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_24FE50BADD8032,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Reciclado (Circuito cerrado),kg,2024,,2024,1.63874406,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_3545275BA01975,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Reciclado (Circuito cerrado),kg,2025,,2025,1.63668994,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_4D7829E5853D29,TODOS,,"Metal para estructuras (perfiles, rieles)","Metal para estructuras (perfiles, rieles)",,,Reciclado (Circuito cerrado),kg,2026,,2026,1.63668994,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_METAL PARA ESTRUCTURAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,METAL_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_5C9DDB87621131,TODOS,,Papel,Papel,,,Producción de materia prima,kg,2022,,2022,0.910478097809396,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_E90B9E9308043B,TODOS,,Papel,Papel,,,Producción de materia prima,kg,2023,,2023,1.33931834,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_975B9D544E8626,TODOS,,Papel,Papel,,,Producción de materia prima,kg,2024,,2024,1.3450779,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_073DBE01A59865,TODOS,,Papel,Papel,,,Producción de materia prima,kg,2025,,2025,1.34359114,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_CF5A8F6330A21A,TODOS,,Papel,Papel,,,Producción de materia prima,kg,2026,,2026,1.34359114,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_6F85F19D91F75A,TODOS,,Papel,Papel,,,Reciclado (Circuito cerrado),kg,2022,,2022,0.730478097809396,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
